GROUPO,AÑO,MIN,MAX,MED,LAST
-1558553565,2016,"2016-12-14 00:00:00","2016-12-29 00:00:00",5.3333,6
-1555574964,2016,"2016-09-12 00:00:00","2016-11-14 00:00:00",6.4000,51
-1547377658,2016,"2016-12-17 00:00:00","2016-12-30 00:00:00",4.6667,5
-1544894414,2016,"2016-03-12 00:00:00","2016-03-19 00:00:00",1.1429,291
-1533071176,2016,"2016-11-04 00:00:00","2016-12-23 00:00:00",6.2500,12
-1527644883,2016,"2016-05-14 00:00:00","2016-10-13 00:00:00",6.6522,83
-1514902726,2016,"2016-12-04 00:00:00","2016-12-08 00:00:00",1.0000,27
-1514727762,2016,"2016-02-05 00:00:00","2016-03-11 00:00:00",6.0000,299
-1513078568,2016,"2016-11-21 00:00:00","2016-12-19 00:00:00",4.8333,16
-1509118004,2015,"2015-09-18 00:00:00","2015-12-11 00:00:00",6.5385,390
-1508729207,2016,"2016-10-06 00:00:00","2016-12-22 00:00:00",8.6667,13
-1505527634,2016,"2016-10-05 00:00:00","2016-12-14 00:00:00",7.1000,21
-1499244369,2015,"2015-09-05 00:00:00","2015-09-05 00:00:00",0.3333,487
-1477512890,2015,"2015-01-03 00:00:00","2015-12-30 00:00:00",16.4545,371
-1477512890,2016,"2016-12-01 00:00:00","2016-12-29 00:00:00",5.8000,6
-1475058020,2012,"2012-12-04 00:00:00","2012-12-18 00:00:00",5.0000,1478
-1475058020,2013,"2013-01-08 00:00:00","2013-03-12 00:00:00",6.4000,1394
-1474337428,2015,"2015-06-30 00:00:00","2015-12-02 00:00:00",13.0000,399
-1470979539,2015,"2015-11-16 00:00:00","2015-12-21 00:00:00",5.1429,380
-1470979539,2016,"2016-02-15 00:00:00","2016-04-11 00:00:00",6.3333,268
-1470904465,2016,"2016-12-18 00:00:00","2016-12-25 00:00:00",4.0000,10
-1470904465,2017,"2017-01-01 00:00:00","2017-01-01 00:00:00",1.0000,3
-1458539529,2012,"2012-06-12 00:00:00","2012-11-13 00:00:00",22.1429,1513
-1458539529,2013,"2013-10-03 00:00:00","2013-11-04 00:00:00",1.4348,1157
-1458539529,2015,"2015-09-28 00:00:00","2015-10-28 00:00:00",1.3478,434
-1458539529,2016,"2016-06-15 00:00:00","2016-08-31 00:00:00",3.3913,126
-1443057667,2015,"2015-11-26 00:00:00","2015-12-17 00:00:00",2.7500,384
-1443057667,2016,"2016-01-07 00:00:00","2016-12-05 00:00:00",5.3016,30
-1440922648,2012,"2012-02-22 00:00:00","2012-04-05 00:00:00",6.2857,1735
-1408659615,2007,"2007-05-26 00:00:00","2007-05-26 00:00:00",1.0000,3511
-1408389372,2015,"2015-10-15 00:00:00","2015-11-01 00:00:00",2.0000,430
-1403331430,2016,"2016-11-01 00:00:00","2016-11-02 00:00:00",0.3333,63
-1395627293,2007,"2007-07-29 00:00:00","2007-07-29 00:00:00",1.0000,3447
